13	31.01	12.5	7.55	20.25
13.1	30.59	12.8	8	20.15
15.25	33.865	15	8	21.55
14.5	31.845	13.5	9	22.5
14.65	31.555	13.55	8.5	22.4
16.5	37.6	16.65	6	20.5
16.3	34.265	15	9	23
16.5	36.225	16.3	8.5	23.35
16.1	40.34	16.2	8	23.1
17.2	36.55	17.95	6	20.65
16.5	35.38	17	6	20.2
16	36.22	17	5	19.9
14.1	31.41	14.05	7	20.8
14.2	31.905	14.35	7	21.6
14.65	31.395	14.25	7	21.7
14.55	31.91	14.35	7	21.45
16.1	43.125	15.95	8	24.05
14.25	35.055	13.65	8	22.5
20.25	39.725	20.05	6.5	25.75
17.45	37.46	16.5	8	25.7
18	38.43	17	7.5	28.5
18.5	44.11	19.2	5	21.75
18.9	47.365	17.9	7	23.5
14.8	37.53	14	7.5	23.35
16.25	34.965	16	7.5	23.5
20	38.415	20.2	5.5	23.8
19.3	38.83	19.45	6	23.5
18.35	45.08	18.25	6.5	23.45
15.65	35.03	14.3	8.5	24.15
16.7	34.97	15.7	8	25
17.3	34.46	15.7	8	25.5
19.85	39.69	19.55	7	25.45
19.25	44.32	19	7.5	25.4
18.3	39.92	17.8	8.5	27.2
18.25	37.545	17	8.5	26.65
17.8	36.775	17	8.5	25.8
14	34.865	13.95	7.5	20.7
14.2	39.01	13.05	8	20.9
14	38.155	12	9	21.4
13	30.675	11.55	8	19.9
13.2	30.935	11.9	8	20.25
17.15	36.945	16.9	7.5	22.65
16.5	40.48	15.5	7.5	22.4
15.2	40.79	14.1	8.5	23.5
14.2	32.69	13.3	8	22
15.1	33.295	68.25	9	22.45
17.45	39.375	17.3	7.5	22
17.3	36.93	17.4	6.5	21.9
14.45	34.155	13.35	8.5	22.85
14.8	35.425	13.35	8.5	23.5
16.7	38.755	16.1	8.5	23.65
19	35.825	17.95	9.5	25.7
19.1	36.325	17.9	9.5	26
20.3	36.715	18.55	10	27.7
18	33.87	16	10.5	26.6
18	33.625	16.05	10.5	26.6
16.9	34.155	14.75	10	26.55
17.55	36.965	17.1	8.5	24.45
17.85	37.4	18.05	7.5	23.1
18.5	37.015	18.15	9	24.2
16.75	35.215	15.5	10.5	25.35
16.6	33.79	15.35	9.5	24.5
16.9	35.49	16.2	9.5	25
15.8	35.695	15.05	8	21.8
15.8	41.72	15.5	8.5	21.95
14.35	38.87	12.3	9.5	23.05
14.45	29.235	12.85	9	22
14.55	33.27	13.3	8.5	22.05
15.7	38.55	16.1	7	20.8
15.3	36.34	15.3	6.5	20.4
14	34.21	13.45	8.5	22.05
13.6	35.195	13	8.5	21.75
14.9	35.875	14.35	8	22.45
18.4	38.755	17.95	7.5	23.45
18.5	41.905	18.5	7.5	24.5
18.3	43.285	17	9.5	24.45
16.1	37.985	14.75	9.5	23.6
17.2	34.495	16	8.5	24
19.55	39.56	18.9	8	25
19.35	41.53	18.35	7.5	23.6
19.5	45.6	18.45	9.5	26.4
18.5	39.34	17.5	9	25.7
17.8	38.795	16	9.5	25
17	39.495	16.4	8	23.1
17.45	41.395	17.4	7.5	22.45
16.2	40.205	15.2	9.5	24.25
15.95	38.33	15.2	8.5	23.45
15.75	36.465	15.5	6	20.3
16.5	37.895	16.75	6	21.5
13.2	34.21	12.55	8	21.55
14.45	34.64	14.1	7	21.3
13.9	33.745	13.15	7.5	21.3
18.2	36.775	17.45	7.5	23.5
16.4	33.415	15.1	8.5	23.6
16.25	33.23	14.6	8.5	24
18.35	37.755	17.4	8.5	24.65
17.75	37.795	17.2	8	24.3
16.6	34.175	15.25	9.5	24.7
15.75	35.365	14.4	9	24.6
17.5	39.925	17.35	7.5	23.25
15.85	42.225	15.6	9.5	24.8
14.6	30.915	13	8.5	22.45
15.85	38.135	15.6	6.5	21.4
15.5	38.005	15.15	7	21.6
14.6	35.215	13.65	8	22.55
14.85	35.125	13.95	8.5	23.15
19.1	38.06	18.5	8.75	25.4
19.6	37.845	19.35	8	25.55
17.95	35.495	17.45	9	26
17.2	35.68	16.2	9.5	25.35
17.25	36.49	16	9	25.7
20.15	35.55	18.6	10	26.95
20.35	38.405	18.55	10.5	27.6
19.7	38.745	18.5	10	26
19.1	37.49	17.3	10.5	27.35
17.45	36.875	15.25	10.5	26.4
17.45	34.535	15.1	10	26.55
18	37.435	18.05	7.5	24.05
18.85	38.275	18.8	7.5	23.65
18.85	37.25	18.35	8.5	24.65
17.3	34.895	15.5	9	25.75
17.2	34.865	15.45	10	26.15
16.95	34.505	15.25	9.5	25.5
17.95	37.515	16.75	8	24.1
17.75	37.195	17	8.5	23.8
17.1	40.48	16.4	9	23.8
17	38.38	15.65	10	25.2
15.5	32.53	13.6	9	23.5
16.15	33.28	14	9	24.4
16.4	32.775	14.2	9.5	25
17.45	40.495	17.2	7.5	25
18.55	41.825	17.9	8	24.25
19	37.375	18.15	8	25
17.3	36.495	16	9	25.4
18.2	37.485	16.9	9	26.4
19.1	35.305	18.4	9	25.5
20.4	35.735	20.35	9	26.1
17.15	33.625	16.1	10	24.85
17.35	33.75	15.15	10	26
17.5	33.405	16	9.5	25.6
13	33.79	13.1	6	16.85
13.5	35.42	13.5	5.5	17.05
14.25	35.185	14.6	5.5	16.9
12.5	29.76	11.3	7.5	18.85
12.9	30.68	11.6	8	19.1
12.4	30.635	11	7.5	18.85
11.55	33.04	9.75	7	18.45
12.9	32.825	11.4	7.5	18.65
12.85	32.83	12.1	7.5	19
11.45	28.505	9	7	18.7
11.2	30.535	9	7.5	19.1
12.35	30.6	10.5	7	19.15
12.7	31.235	11.7	7.5	19.15
12.85	31.215	11.95	7.5	19.1
12.4	31.915	11	7	19.45
13	33.455	13	6	18
13.35	34.615	13.1	7	19.15
13	33.02	13.2	6	17
13	33.27	13.15	5.5	17
13	34.93	13.2	6	17.4
12.8	34.81	12.8	6.5	17.4
12	31.61	12	7	18.7
12	31.12	12	7	19.2
